destino,PPC,PVR,DP,RCP
Atacames,3162.1139601139603,0.0027766928237299144,1862.5178898469671,0.034198946850365654
Ayampe,3097.5626780626785,0.004656145141388481,2003.1256475715738,0.4179805587097115
General Villamil,3505.5333333333333,0.0032011853325823987,2821.4757130675785,0.40873946337719214
Manta,3245.2625000000003,0.0037593509808848103,1848.0429411081027,0.28354775121479786
Montañita,3176.5952635327635,0.004349920800941452,2313.925010997923,0.4286583991997224
Puerto López,3173.247252747253,0.004647864329497676,1862.0374297137994,0.4379897646503553
Salinas,3891.534391534391,0.0034562961248372566,3573.047252344654,0.7446385832132196
