destino,TA,DC,PC,SC,CH
Atacames,25,0.6,0.9491223535613841,0.5866666666666668,0.337280588390346
Ayampe,63,0.873015873015873,0.6757791799799575,0.3333333333333333,0.824246601830674
General Villamil,27,0.8148148148148149,0.26528924677238697,0.5061728395061728,0.3457629752383885
Manta,40,0.85,1.0,0.25833333333333336,0.620757055682685
Montañita,47,0.8936170212765957,0.0,0.3333333333333333,0.5044215869623297
Puerto López,30,0.8,0.2143032015306885,0.3444444444444444,0.3027239687510661
Salinas,29,0.7241379310344828,0.41608288830574547,0.41379310344827586,0.29917128999311926
