destino,RP,MR,HF,HES,NH
Atacames,8.38,8.7,3.717741935483871,3.7952518387534244,0.31578482670617636
Ayampe,8.407547169811322,8.7,3.869817578772803,3.8566174610778647,0.574705262307517
General Villamil,8.526923076923076,8.75,3.7168949771689497,3.8748537009048696,0.4999545099130364
Manta,7.78,8.5,3.693404634581105,3.8223967704866206,0.03874158380339311
Montañita,8.323684210526316,8.55,3.850602409638554,3.8447562728135365,0.4357056111051945
Puerto López,8.422222222222222,8.8,3.973941368078176,3.97041847540251,0.9031124497991967
Salinas,8.72857142857143,8.8,3.9482758620689653,3.9124715018370444,0.8898512146491109
