destino,CH,NH,RCP,Score_Final
Ayampe,0.824246601830674,0.6850655509685424,0.4179805587097115,0.6188144177647747
Salinas,0.29917128999311926,0.8855086107245224,0.7446385832132196,0.5342488158572483
Puerto López,0.3027239687510661,0.9031124497991967,0.4379897646503553,0.4796212753702565
Montañita,0.5044215869623297,0.5991344743223832,0.4286583991997224,0.46724065692159134
General Villamil,0.3457629752383885,0.5807733867344219,0.40873946337719214,0.3942850987911204
Manta,0.620757055682685,0.020348360101360947,0.28354775121479786,0.3111168805464419
Atacames,0.337280588390346,0.38784784177726084,0.034198946850365654,0.2581063772593898
